Target keyword,Target country,Title,Article status,Original publish date,URL,Original writer/translator,Category,Subcategory,Epic,Persona,Niche persona,Article type
humanities major,US,What Is a Humanities Major (What Can You Do With This Degree),Published,2022-02-17,https://www.coursera.org/articles/what-is-a-humanities-major,Izea,Degrees,Degrees by Topic,Humanities and Liberal Arts Degrees,Starter,Considering,Degree Overview
network administrator,US,What Is a Network Administrator? A Career Guide,Published,2021-11-23,https://www.coursera.org/articles/what-is-a-network-administrator-a-career-guide,Izea,IT,Networks and Security,Network Analyst,"Starter,Switcher",Considering,Career Overview
workplace communication,US,Workplace Communication: What Is It & Why Is It Important?,Published,2022-05-24,https://www.coursera.org/articles/workplace-communication,Amber,Career Advice,Skills,Job Skills,"Starter,Switcher,Advancer","Current,Applying",Long Explainer
health information management degree,US,Health Information Management Degrees: A Guide,Published,2022-04-08,https://www.coursera.org/articles/health-information-management-degree,Amanda,Degrees,"Degrees by Topic,Health Care Management",Health Degrees,"Starter,Switcher",Considering,Degree Overview
how to become a data analyst,US,How to Become a Data Analyst (with or Without a Degree),Published,2021-09-13,https://www.coursera.org/articles/how-to-become-a-data-analyst,Lydia,Data,Data Analytics,Data Analyst,"Starter,Switcher","Applying,Considering",How to (Jobs)
best business majors,US,6 Best Business Majors for Your Goals,Published,2022-08-03,https://www.coursera.org/articles/best-business-majors,Alissa,Degrees,Degrees by Topic,Business Degrees,Starter,Considering,Long Explainer
online masters degree,US,A Guide to Online Master's Degrees,Published,2022-03-24,https://www.coursera.org/articles/online-masters-degrees,Amanda,Degrees,Degrees by Level,Master's,"Switcher,Advancer",Considering,Degree Overview
executive assessment,US,What Is the Executive Assessment?,Published,2022-03-08,https://www.coursera.org/articles/executive-assessment,Izea,Degrees,"Degrees by Topic,Degree Advice","Business Degrees,Entrance Exams",Advancer,Applying,Degree Overview
is an mba worth it,US,Is an MBA Worth It? 2026 Guide,Published,2021-12-21,https://www.coursera.org/articles/is-an-mba-worth-it,Alissa,Degrees,Degrees by Topic,Business Degrees,Advancer,Considering,Long Explainer
benefits of online learning,US,10 Surprising Benefits of Online Learning in 2026,Published,2022-01-19,https://www.coursera.org/articles/benefits-of-online-learning,Amanda,Degrees,Degree Advice,"Degree FAQ,Success in College","Starter,Switcher,Advancer",Considering,Long Explainer
master of science,GB,The Master of Science (MSc) Degree: A Guide,Published,2022-11-23,https://www.coursera.org/gb/articles/master-of-science,Izea,Degrees,Degrees by Level,Master's,"Switcher,Advancer",Considering,Degree Overview
mba business analytics,US,Your Guide to the MBA Business Analytics Concentration,Published,2022-04-15,https://www.coursera.org/articles/mba-business-analytics,Izea,Degrees,Degrees by Topic,Business Degrees,Advancer,Considering,Degree Overview
business data analyst,US,What Does a Business Data Analyst Do? 2026 Career Guide,Published,2022-03-25,https://www.coursera.org/articles/business-data-analyst,Alissa,Data,Data Analytics,Business Analyst,"Starter,Switcher",Considering,Career Overview
career tips from women in leadership,US,10 Career Tips from Women in Leadership,Published,2022-02-22,https://www.coursera.org/articles/career-tips-from-women-in-leadership,Alissa,Career Advice,Career Path Planning,Career Advancement,"Starter,Switcher,Advancer","Considering,Current,Applying",Career Path
what is mba,US,"What Is an MBA? About the Degree, Programs, Jobs, and More",Published,2022-11-01,https://www.coursera.org/articles/what-is-mba-degree,Lydia,Degrees,"Degrees by Topic,Degrees by Level","Business Degrees,Master's","Switcher,Advancer",Considering,Degree Overview
are it certifications worth it,US,Are IT Certifications Worth It? When to Get Certified in Your IT Career,Published,2021-08-02,https://www.coursera.org/articles/are-it-certifications-worth-it,Amber,IT,IT Support,IT Support Specialist,"Starter,Switcher,Advancer","Considering,Applying",Certification
career advancement,US,How Can You Advance Your Career? Growth Guide and Tips,Published,2022-07-21,https://www.coursera.org/articles/career-advancement,Alissa,Career Advice,Career Path Planning,Career Advancement,Advancer,"Considering,Current",Career Path
how to become a web designer,US,How to Become a Web Designer,Redirected,2022-03-14,https://www.coursera.org/articles/how-to-become-a-web-designer,Izea,Computer Science and Engineering,"Design and Product,Web and App Development","UX Designer,Front-end Developer","Starter,Switcher","Considering,Applying",How to (Jobs)
ba vs bsc,GB,BA vs B.Sc: What Degree Should You Do?,Published,2022-11-10,https://www.coursera.org/gb/articles/ba-vs-bs,Izea,Degrees,Degrees by Level,Bachelor's,"Starter,Switcher",Considering,Comparison
how to set boundaries,US,How to Set Boundaries at Work,Published,2022-03-28,https://www.coursera.org/articles/how-to-set-boundaries,Izea,Career Advice,Career Support,Work-Life Balance,"Switcher,Advancer",Current,How to (General)
can you get a bachelor's degree online,US,Can You Get a Bachelor's Degree Online?,Published,2022-08-26,https://www.coursera.org/articles/online-bachelors-degrees,Amanda,Degrees,Degrees by Level,Bachelor's,"Starter,Switcher",Considering,Degree Overview
career coaching,US,Career Coaching: How to Find a Coach That Fits Your Needs,Redirected,2022-02-04,https://www.coursera.org/articles/career-coaching,Alissa,Career Advice,Career Support,Career Coach,"Switcher,Advancer","Current,Considering,Applying",Long Explainer
how to promote diversity and inclusion in the workplace,US,What We've Learned About Diversity and Inclusion in the Workplace,Ready for Contentful Upload,2022-05-31,https://www.coursera.org/enterprise/articles/how-to-promote-diversity-and-inclusion-in-the-workplace,Alissa,Career Advice,Skills,For Companies,Advancer,Current,How to (General)
master biology,US,What Is a Master's in Biology,Updates Assigned,2022-04-26,https://www.coursera.org/articles/masters-biology,Izea,Degrees,Degrees by Topic,Health Degrees,Advancer,Considering,Degree Overview
what is an entry level job,US,What Is an Entry-Level Job?,Updates Assigned,2022-02-16,https://www.coursera.org/articles/what-is-an-entry-level-job,Amanda,Career Advice,Career Path Planning,Choosing a Career,Starter,Considering,Career Options
financial controller,US,What Is a Financial Controller?,Updates Assigned,2022-01-24,https://www.coursera.org/articles/financial-controller,Izea,Business,Finance,Accountant,"Starter,Switcher,Advancer",Considering,Career Overview
graduate certificate,US,What’s the Difference Between a Graduate Certificate and a Master’s Degree?,Published,2022-09-14,https://www.coursera.org/articles/graduate-certificate,Izea,Degrees,Degree Advice,Degree Alternatives,"Switcher,Advancer",Considering,Degree Overview
why get an mba,US,Why Get an MBA? 6 Reasons to Consider an Advanced Business Degree,Published,2022-02-22,https://www.coursera.org/articles/why-get-an-mba,Alissa,Degrees,"Degrees by Topic,Degrees by Level","Business Degrees,Master's",Advancer,Considering,Degree Overview
masters in accounting,US,What Is a Master's in Accounting?,Published,2022-09-02,https://www.coursera.org/articles/masters-in-accounting,Izea,Degrees,"Degrees by Topic,Finance","Business Degrees,Accountant","Switcher,Advancer",Considering,Degree Overview
business analyst vs data analyst,US,Business Analyst vs. Data Analyst: What’s the Difference?,Published,2021-11-05,https://www.coursera.org/articles/data-analyst-vs-business-analyst,Lydia,Data,Data Analytics,"Data Analyst,Business Analyst","Starter,Switcher",Considering,Comparison
how long should a college essay be,US,How Long Should a College Essay Be?,Published,2022-02-14,https://www.coursera.org/articles/how-long-should-a-college-essay-be,Izea,Degrees,Degree Advice,College Applications,Starter,Applying,Degree Overview
career change cover letter,US,How to Write a Cover Letter When You’re Changing Careers (Sample + Tips),Published,2022-08-12,https://www.coursera.org/articles/career-change-cover-letter,Amanda,Career Advice,Career Path Planning,"Switching Careers,Resumes and Cover Letters",Switcher,Applying,Job Resume
CLEP exams,US,What Are CLEP Exams and What Are the Benefits?,Updates Assigned,2022-02-07,https://www.coursera.org/articles/clep-exams,Izea,Degrees,Degrees by Level,Bachelor's,Starter,Applying,Long Explainer
final interview questions,US,23 Questions You Can Expect in a Final Interview,Updates Assigned,2022-06-07,https://www.coursera.org/articles/final-interview-questions,Amanda,Career Advice,Career Support,Interviews,"Starter,Switcher",Applying,Interview Questions
masters degree worth it,GB,Is a Master’s Degree Worth It in 2026?,Published,2022-11-10,https://www.coursera.org/gb/articles/is-a-masters-degree-worth-it,Izea,Degrees,"Degrees by Level,Degree Advice",Master's,"Advancer,Switcher",Considering,Degree Overview
how to get a master's degree,US,How to Get a Master's Degree,Published,2022-06-10,https://www.coursera.org/articles/how-to-get-masters-degree,Izea,Degrees,Degrees by Level,Master's,"Advancer,Switcher",Applying,How to (General)
objective for resume,US,Crafting Your Resume Objective: 2026 Guide (+ Examples),Published,2022-07-13,https://www.coursera.org/articles/objective-for-resume,Amanda,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher",Applying,Job Resume
how to write a resignation letter,US,How to Write a Resignation Letter (Template + Tips),Published,2022-01-27,https://www.coursera.org/articles/how-to-write-a-resignation-letter,Alissa,Career Advice,Career Path Planning,Switching Careers,Switcher,Considering,How to (General)
Partner Article Pilot: coursera brand marketing manager,US,Marketing Career Path: How I Became a Brand Marketing Manager at Coursera,Published,2022-05-17,https://www.coursera.org/articles/how-i-became-a-brand-marketing-manager-at-coursera,Alissa,Business,Marketing,Digital Marketer,"Switcher,Advancer",Considering,Career Path
business degree jobs,GB,10 In-Demand Jobs You Can Get with a Business Degree (2026),Published,2022-11-23,https://www.coursera.org/gb/articles/what-can-you-do-with-business-degree,Izea,Degrees,"Degrees by Topic,Career Support",Business Degrees,"Starter,Switcher",Considering,Career Options
what is a computer science degree,US,What Is a Computer Science Degree?,Published,2022-05-17,https://www.coursera.org/articles/what-is-computer-science-degree,Izea,Degrees,"Degrees by Topic,Computer Science","Computer Science Degrees,Machine Learning Engineer",Starter,Considering,Degree Overview
is an online mba worth it,US,Is an Online MBA Worth It? The Return on Your Investment,Updates Assigned,2022-06-06,https://www.coursera.org/articles/is-an-online-mba-worth-it,Amber,Degrees,Degrees by Topic,Business Degrees,"Switcher,Advancer",Considering,Long Explainer
combination resume,US,Combination Resume Guide: Template and Tips,Published,2022-10-25,https://www.coursera.org/articles/combination-resume,Alissa,Career Advice,"Career Support,Career Path Planning",Resumes and Cover Letters,"Starter,Switcher",Applying,Job Resume
job skills,US,What Are Job Skills?,Published,2022-02-02,https://www.coursera.org/articles/job-skills,Mateo,Career Advice,Skills,Job Skills,Starter,Applying,Skills
applicant tracking system,US,Navigating the Applicant Tracking System (ATS): A Job Guide,Published,2022-08-02,https://www.coursera.org/articles/applicant-tracking-system,Amanda,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher",Applying,Job Resume
information technology degree,US,Do I Need an Information Technology Degree? 4 Things to Consider,Published,2021-11-22,https://www.coursera.org/articles/do-i-need-an-information-technology-degree,Amber,Degrees,"Degrees by Topic,IT Support","IT Degrees,IT Support Specialist","Starter,Switcher",Considering,Degree Overview
highest paying bachelor degrees,US,20 Highest-Paying Bachelor’s Degree Jobs,Published,2022-04-15,https://www.coursera.org/articles/highest-paying-bachelor-degrees,Amanda,Degrees,"Degrees by Level,Career Path Planning","Bachelor's,Choosing a Career","Starter,Switcher",Considering,Career Options
gmat vs gre,US,GMAT vs. GRE: Which Should I Take?,Updates Assigned,2022-05-11,https://www.coursera.org/articles/gmat-vs-gre-which-exam-is-right-for-me,Lydia,Degrees,Degrees by Topic,Business Degrees,"Switcher,Advancer",Applying,Comparison
questions to ask recruiters,US,10 Good Questions to Ask a Recruiter,Published,2022-05-06,https://www.coursera.org/articles/questions-to-ask-recruiters,Amber,Career Advice,Career Support,Interviews,"Starter,Switcher",Applying,Interview Questions
nontraditional student,US,What Is a Nontraditional Student?,Published,2022-06-10,https://www.coursera.org/articles/nontraditional-student,Lydia,Degrees,Degree Advice,Success in College,"Starter,Switcher",Considering,Long Explainer
hard skills vs soft skills,US,Hard Skills vs. Soft Skills: What’s the Difference?,Updates Assigned,2022-08-19,https://www.coursera.org/articles/hard-skills-vs-soft-skills,Tiffany,Career Advice,Skills,Job Skills,Starter,Considering,Comparison
